,property_type,price,room_type,accommodates,wifi,parking,elevator,laundry,pool,bar,restaurant,gym,media_entertainment,air_conditioning,country
352,Hotel,4216.0,room,3,1,1,0,0,0,0,1,0,1,1,India
353,Hotel,5219.0,room,3,1,1,0,0,0,0,1,0,1,1,India
354,Apartment,7247.0,room,7,1,0,0,0,0,0,1,1,1,0,India
355,Hotel,4178.0,room,4,1,1,1,0,0,0,1,1,0,1,India
356,House,278.0,room,3,0,0,0,0,0,0,1,0,1,1,India
357,Hotel,1334.0,room,4,0,0,0,0,0,0,1,0,1,1,India
358,Apartment,1889.0,room,2,1,1,1,0,0,0,1,0,0,1,India
359,Hotel,1556.0,room,4,0,1,0,0,0,0,0,0,1,1,India
360,Hotel,6969.0,room,3,1,1,1,0,0,1,1,0,1,1,India
361,Hotel,8889.0,entire_home,2,1,0,0,0,0,0,0,0,0,1,India
362,Hotel,4334.0,room,4,1,1,1,0,1,0,1,1,1,1,India
363,Hotel,8500.0,room,1,0,0,0,0,0,0,0,0,0,0,India
364,Hotel,1983.0,room,4,1,1,0,0,0,1,1,0,1,1,India
